mass_A
t	x	y
4.576444444E-1	6.320589805E-1	5.303845577E0
4.662444444E-1	7.588514583E-1	5.191002121E0
4.705666667E-1	6.181155336E-1	5.101275328E0
4.748888889E-1	6.819983153E-1	5.042149639E0
4.792111111E-1	5.848401300E-1	4.944556843E0
4.835333333E-1	5.335980440E-1	4.847839594E0
4.878555556E-1	5.406123644E-1	4.774897912E0
4.921777778E-1	4.632347497E-1	4.681357470E0
4.965000000E-1	4.611431124E-1	4.604160548E0
5.008222222E-1	5.977757126E-1	4.519397058E0
5.051444444E-1	5.328311455E-1	4.420118787E0
5.094666667E-1	6.028687047E-1	4.349147349E0
5.137888889E-1	9.802114002E-2	4.324238777E0
5.181111111E-1	3.462245707E-1	4.405641097E0
5.224333333E-1	3.737517041E-1	4.591294504E0
5.267555556E-1	4.016574534E-1	4.499413958E0
5.310777778E-1	3.817401125E-1	4.397092967E0
5.354000000E-1	3.589570225E-1	4.334947331E0
5.397222222E-1	3.261824820E-1	4.274446615E0
5.440444444E-1	3.915507640E-1	3.333082329E0
5.483666667E-1	3.513518601E-1	3.274232006E0
5.526888889E-1	2.407335880E-1	3.203753325E0
5.570111111E-1	3.088850903E-1	3.070065161E0
5.613333333E-1	3.258439989E-1	2.960384960E0
5.656555556E-1	2.207117594E-1	2.844435603E0
5.742000000E-1	1.879504665E-1	2.585892524E0
5.785222222E-1	2.933006543E-1	2.447707231E0
5.828444444E-1	3.055457189E-1	2.302453020E0
5.871666667E-1	3.379036545E-1	2.159442042E0
5.914888889E-1	2.093606409E-1	2.032933849E0
5.958111111E-1	2.366181141E-1	1.878513734E0
6.001333333E-1	2.805758737E-1	1.730625438E0
6.044555556E-1	5.870222265E-1	1.576196690E0
6.130666667E-1	5.833128998E-1	1.277868591E0
6.173777778E-1	3.983379142E-1	1.120942778E0
6.216888889E-1	7.301566051E-1	1.015073731E0
6.260000000E-1	4.112120609E-1	1.505450637E0
6.303111111E-1	4.956081229E-1	7.174306514E-1
6.346222222E-1	3.984246593E-1	5.999520980E-1
6.389333333E-1	6.777391885E-1	4.135458510E-1
6.432444444E-1	4.263816703E-1	9.557472123E-1
6.605555556E-1	4.436513985E-1	4.114944663E-1
6.648777778E-1	4.944497537E-1	3.475887003E-1
6.692000000E-1	6.032960332E-1	-2.216452274E-1
6.735222222E-1	6.318595290E-1	-4.501531940E-1
6.778444444E-1	5.461690415E-1	-5.929706732E-1
6.821666667E-1	6.889865207E-1	-8.500421357E-1
6.864888889E-1	8.032405040E-1	-9.357326232E-1
6.908111111E-1	6.849145051E-1	-6.622471730E-1
6.951333333E-1	7.188428767E-1	-7.362739730E-1
6.994555556E-1	7.337576446E-1	-8.475356784E-1
7.037777778E-1	7.325676524E-1	-9.826819935E-1
7.081000000E-1	7.337566342E-1	-1.098399378E0
7.124222222E-1	7.407134876E-1	-1.218681987E0
7.167444444E-1	7.355708902E-1	-1.336886366E0
7.210666667E-1	7.525042526E-1	-1.461305035E0
7.253888889E-1	7.459516358E-1	-1.575805309E0
7.297111111E-1	7.495266642E-1	-1.677171496E0
7.340333333E-1	7.663217690E-1	-1.788356909E0
7.383555556E-1	7.704649236E-1	-1.882631776E0
7.426777778E-1	7.805521170E-1	-1.982338330E0
7.470000000E-1	7.905697888E-1	-2.079461575E0
7.513222222E-1	7.935513514E-1	-2.167605773E0
7.556444444E-1	7.946495838E-1	-2.244522906E0
7.599666667E-1	7.983128415E-1	-2.327993869E0
7.642888889E-1	8.092357597E-1	-2.395303698E0
7.685111111E-1	8.107396569E-1	-2.470652183E0
7.727333333E-1	8.162355904E-1	-2.534455783E0
7.771555556E-1	8.248733537E-1	-2.591975655E0
7.814666667E-1	8.437256885E-1	-2.641495347E0
7.857777778E-1	8.426193921E-1	-2.693905229E0
7.900888889E-1	8.465712929E-1	-2.740122723E0
7.944000000E-1	8.477465760E-1	-2.776095800E0
7.987111111E-1	8.602733026E-1	-2.813657132E0
8.030222222E-1	8.691841162E-1	-2.841573435E0
8.073333333E-1	8.841626791E-1	-2.858629819E0
8.116444444E-1	8.918473468E-1	-2.889539573E0
8.159555556E-1	8.890172218E-1	-2.900447160E0
8.202666667E-1	8.911000496E-1	-2.908858412E0
8.245777778E-1	8.938658555E-1	-2.915075176E0
8.288888889E-1	8.957324046E-1	-2.914900246E0
8.332000000E-1	8.966996316E-1	-2.914709936E0
8.375111111E-1	9.026556483E-1	-2.906606437E0
8.418222222E-1	9.051170882E-1	-2.901484368E0
8.461333333E-1	9.072433381E-1	-2.889479693E0
8.505555556E-1	9.067432167E-1	-2.874025853E0
8.548666667E-1	9.004219328E-1	-2.844643237E0
8.591777778E-1	9.049005396E-1	-2.830706186E0
8.634888889E-1	8.974460879E-1	-2.792628320E0
8.678000000E-1	8.968462897E-1	-2.753845432E0
8.721111111E-1	8.947340124E-1	-2.733087552E0
8.764222222E-1	8.971073884E-1	-2.685520708E0
8.807333333E-1	8.978248115E-1	-2.641341399E0
