mass_A
t	x	y
5.483888889E-1	1.284711964E-2	4.654203889E0
5.527111111E-1	1.355715235E-2	4.360476360E0
5.570333333E-1	1.355715235E-2	4.184023733E0
5.613555556E-1	-2.173337310E-2	4.078152157E0
5.656777778E-1	8.413820326E-2	3.866409004E0
5.700000000E-1	4.884767781E-2	3.795827953E0
5.743222222E-1	-9.231442401E-2	3.584084800E0
5.786444444E-1	-1.636843459E-1	3.458652997E0
5.829666667E-1	-2.017241309E-1	3.412029885E0
5.872888889E-1	-2.332862916E-1	3.360839442E0
5.916111111E-1	-2.318204841E-1	3.290918464E0
5.959333333E-1	-2.384658338E-1	3.189835261E0
6.001555556E-1	-2.489468879E-1	3.074691590E0
6.087888889E-1	-2.606195641E-1	2.860419278E0
6.131111111E-1	-2.592389740E-1	2.732914343E0
6.174333333E-1	-2.669370036E-1	2.607663688E0
6.217555556E-1	-2.700353115E-1	2.485385470E0
6.260777778E-1	-2.635976917E-1	2.348490620E0
6.304000000E-1	-2.755563877E-1	2.199162960E0
6.347222222E-1	-2.763306235E-1	2.051214586E0
6.390444444E-1	-2.736432759E-1	1.898517153E0
6.476555556E-1	-2.781870039E-1	1.571736852E0
6.519666667E-1	-2.634672375E-1	1.384049374E0
6.562777778E-1	-2.719221979E-1	1.238077785E0
6.605888889E-1	-2.766044644E-1	1.030203332E0
6.649000000E-1	-2.655546301E-1	8.637553063E-1
6.692111111E-1	-2.443187308E-1	6.919338208E-1
6.735222222E-1	-2.385362877E-1	4.930964256E-1
6.778333333E-1	-2.397748151E-1	3.948486020E-1
6.865111111E-1	-2.079214020E-1	-1.075514824E-2
6.908333333E-1	-1.462138025E-1	-1.882150550E-1
6.951555556E-1	-5.702389856E-2	-4.390351013E-1
6.994777778E-1	-2.739511112E-1	-7.333836678E-1
7.038000000E-1	-2.895275096E-1	-8.487617149E-1
7.081222222E-1	-3.027697141E-1	-9.230029395E-1
7.124444444E-1	-3.016889736E-1	-1.090116134E0
7.167666667E-1	-3.075568619E-1	-1.229741678E0
7.296888889E-1	-3.545384156E-1	-1.706714423E0
7.340111111E-1	-3.582478318E-1	-1.848659632E0
7.383333333E-1	-3.762849232E-1	-1.993558518E0
7.426555556E-1	-3.926939313E-1	-2.148748937E0
7.469777778E-1	-3.932216573E-1	-2.275508883E0
7.513000000E-1	-4.004713922E-1	-2.402557110E0
7.556222222E-1	-4.063686510E-1	-2.529695131E0
7.599444444E-1	-4.056191080E-1	-2.636656136E0
7.815000000E-1	-4.398619399E-1	-3.082984606E0
7.858222222E-1	-4.402410582E-1	-3.159385134E0
7.901444444E-1	-4.343981627E-1	-3.220328643E0
7.944666667E-1	-4.396505655E-1	-3.288409253E0
7.987888889E-1	-4.389211177E-1	-3.365283167E0
8.031111111E-1	-4.400843132E-1	-3.433999151E0
8.074333333E-1	-4.433920454E-1	-3.531932578E0
8.117555556E-1	-4.340128622E-1	-3.637706579E0
8.203666667E-1	-4.346697765E-1	-3.715888402E0
8.246777778E-1	-4.329591525E-1	-3.738490924E0
8.289888889E-1	-4.308288925E-1	-3.774597000E0
8.333000000E-1	-4.314630514E-1	-3.806521555E0
8.376111111E-1	-4.364194952E-1	-3.828125096E0
8.419222222E-1	-4.312690784E-1	-3.843379406E0
8.462333333E-1	-4.292846248E-1	-3.858454129E0
8.505444444E-1	-4.245324873E-1	-3.875493175E0
8.548555556E-1	-4.200209749E-1	-3.884165076E0
8.591666667E-1	-4.134191969E-1	-3.880196381E0
8.634777778E-1	-4.129166984E-1	-3.867441945E0
8.677888889E-1	-4.099793866E-1	-3.860294393E0
8.721000000E-1	-4.034408002E-1	-3.806353077E0
8.764111111E-1	-4.003287351E-1	-3.765289940E0
8.807222222E-1	-3.959657143E-1	-3.735356565E0
8.850333333E-1	-3.910077610E-1	-3.689458047E0
8.893444444E-1	-3.913382244E-1	-3.645342439E0
8.936555556E-1	-4.044652101E-1	-3.590229993E0
8.980777778E-1	-3.976138190E-1	-3.547802972E0
9.023888889E-1	-4.007767714E-1	-3.487613884E0
9.067000000E-1	-4.232019096E-1	-3.427502233E0
9.110111111E-1	-4.381746059E-1	-3.374496289E0
9.153222222E-1	-4.093673326E-1	-3.298702463E0
9.196333333E-1	-4.067301093E-1	-3.194053690E0
9.239444444E-1	-3.597358753E-1	-3.063133586E0
9.282555556E-1	-3.943176493E-1	-2.988509473E0
9.325666667E-1	-4.138715657E-1	-2.905402380E0
9.368777778E-1	-4.166703545E-1	-2.822988192E0
9.411888889E-1	-4.486028934E-1	-2.760152521E0
9.455000000E-1	-4.595331172E-1	-2.682779993E0
9.498111111E-1	-4.729992298E-1	-2.598454720E0
9.541222222E-1	-5.069717256E-1	-2.518431411E0
9.584333333E-1	-5.042593439E-1	-2.428673978E0
9.627444444E-1	-5.034466309E-1	-2.330570188E0
9.670555556E-1	-5.101567956E-1	-2.229168315E0
9.713666667E-1	-4.452196785E-1	-1.991818221E0
9.756777778E-1	-4.452196785E-1	-1.780075069E0
9.801000000E-1	-2.687670513E-1	-1.744784543E0
9.844222222E-1	-3.040575767E-1	-1.674203492E0
9.887444444E-1	-3.393481022E-1	-1.462460339E0
9.930666667E-1	-3.746386276E-1	-1.427169814E0
9.973888889E-1	-4.805102040E-1	-1.215426661E0
1.001711111E0	-3.393481022E-1	-1.180136136E0
1.006033333E0	-2.334765258E-1	-9.331024577E-1
1.010355556E0	-3.548109245E-1	-8.885404301E-1
1.014677778E0	-3.478220985E-1	-7.650057190E-1
1.019000000E0	-3.289169736E-1	-7.165352438E-1
1.023322222E0	-3.039116677E-1	-5.449893594E-1
1.027644444E0	-2.598106700E-1	-3.509449694E-1
1.031966667E0	-2.509904704E-1	-3.509449694E-1
1.036288889E0	-2.245298718E-1	-2.627429740E-1
1.040611111E0	-2.068894727E-1	-1.921813776E-1
1.044933333E0	-2.333500714E-1	-9.515918257E-2
1.049255556E0	-2.245298718E-1	7.242460882E-2
1.053577778E0	-1.451480759E-1	1.694468038E-1
1.057900000E0	-1.363278763E-1	4.428729898E-1
1.062222222E0	-1.716086745E-1	3.811315930E-1
1.066544444E0	-1.892490736E-1	4.781537880E-1
1.070866667E0	2.442377582E-2	7.681392962E-2
1.075088889E0	-1.383723096E-1	9.209778534E-2
1.079311111E0	-7.118368835E-2	1.394030379E-1
1.083722222E0	-1.275076768E-1	6.986587766E-1
1.088133333E0	-9.222687860E-2	8.662425680E-1
1.092366667E0	-1.627884750E-1	8.927031667E-1
1.096600000E0	-2.799225857E-1	9.361126166E-1
1.101000000E0	-1.949920019E-2	1.068933600E0
1.105400000E0	1.847392175E-1	1.164284967E0
1.109633333E0	1.749387261E-1	1.237042250E0
1.113866667E0	1.718368072E-1	1.268642033E0
1.118266667E0	2.503490587E-1	1.325693596E0
1.122666667E0	1.803889563E-1	1.378183304E0
1.126900000E0	-1.695649628E-1	1.435346368E0
1.131133333E0	-5.094082719E-1	1.517113446E0
1.135544444E0	-5.268102756E-1	1.589959623E0
1.139855556E0	-4.334015829E-1	2.230914425E0
1.144166667E0	-4.487400228E-1	2.315785361E0
1.148477778E0	-4.563949722E-1	2.406376699E0
1.152788889E0	-4.695939619E-1	2.488047551E0
1.157100000E0	-4.694456645E-1	2.568144607E0
1.161411111E0	-4.815310111E-1	2.650682541E0
1.170077778E0	-5.037519269E-1	2.766958080E0
1.174400000E0	-5.134097340E-1	2.811912871E0
1.178722222E0	-5.046809404E-1	2.845962032E0
1.183044444E0	-5.079382808E-1	2.880298607E0
1.187366667E0	-5.069907207E-1	2.896071707E0
1.191688889E0	-4.937043119E-1	2.921338731E0
1.196011111E0	-4.908115999E-1	2.923309529E0
1.200333333E0	-4.933154667E-1	2.926698482E0
1.208944444E0	-4.956191416E-1	2.923474655E0
1.213255556E0	-4.841550636E-1	2.921021594E0
1.217566667E0	-4.755400133E-1	2.919213413E0
1.221877778E0	-2.807124951E-1	2.351834619E0
1.226188889E0	-9.959682195E-1	2.443934614E0
1.230500000E0	-1.018821266E0	2.447694074E0
1.234811111E0	-1.045148154E0	2.454233930E0
1.239122222E0	-1.053152047E0	2.451705905E0
1.247788889E0	-1.073143591E0	2.448834545E0
1.252111111E0	-1.067308720E0	2.415189170E0
1.260744444E0	-1.057308381E0	2.382605965E0
1.265066667E0	-1.051652198E0	2.365000786E0
1.269388889E0	-9.550104517E-1	2.344311656E0
1.273711111E0	-9.120993421E-1	2.312333837E0
1.278033333E0	-7.222758056E-1	2.268468332E0
1.282355556E0	-8.581052643E-1	2.232110652E0
1.286677778E0	-5.019092618E-1	2.221013980E0
1.291000000E0	-9.518284416E-2	2.193388317E0
1.295322222E0	-3.401311898E-1	2.127067949E0
1.299644444E0	-3.582381619E-1	2.075692752E0
1.303966667E0	-2.882512971E-1	2.048569374E0
1.308288889E0	-4.299979856E-1	2.002408133E0
1.312611111E0	-6.118643028E-1	1.966310940E0
1.316933333E0	-7.894086066E-1	1.951349654E0
1.321255556E0	-7.883886386E-1	1.915219058E0
1.325577778E0	-7.958850066E-1	1.876962848E0
1.329900000E0	-9.878588309E-1	1.869382231E0
1.334222222E0	-1.158433070E0	1.861771820E0
1.338544444E0	-1.084264429E0	1.786169347E0
1.342866667E0	-1.236560541E0	1.780355197E0
1.347188889E0	-1.295060173E0	1.735546646E0
1.351511111E0	-1.298939171E0	1.690824065E0
1.355733333E0	-1.307679951E0	1.634849348E0
1.359955556E0	-5.575936066E-1	2.055611504E0
1.364366667E0	-1.226580569E0	1.470680473E0
1.368777778E0	-1.288671303E0	1.422835735E0
1.373011111E0	-5.910059505E-1	1.874067843E0
1.377244444E0	-5.908059730E-1	1.814782582E0
1.381644444E0	-5.784776569E-1	1.753549153E0
1.386044444E0	-1.297763612E0	1.157583194E0
1.390277778E0	-1.299520384E0	1.076720924E0
1.394511111E0	-9.414385329E-1	9.044796523E-1
1.398911111E0	-1.159231467E0	8.957009653E-1
1.403311111E0	-4.500613246E-1	1.330844396E0
1.407544444E0	-5.303455701E-1	1.245259507E0
1.411777778E0	-3.819176788E-1	5.696632238E-1
1.416188889E0	-3.568301401E-1	4.875131882E-1
1.420500000E0	-4.919697502E-1	3.275163928E-1
1.429133333E0	-4.087883642E-1	8.850220054E-1
1.433455556E0	-4.383830736E-1	8.205488155E-1
1.437777778E0	-4.753153412E-1	7.221313040E-1
1.442100000E0	-3.719433051E-1	3.024602650E-1
1.446422222E0	-3.071606310E-1	2.131616029E-1
1.450744444E0	-2.278129951E-1	1.263251224E-1
1.455066667E0	-2.226577386E-1	3.893110594E-2
1.459388889E0	-3.009122464E-1	-7.946277058E-2
1.463711111E0	-4.023946671E-1	-9.308017310E-2
1.468033333E0	-5.886408512E-1	-9.724887442E-1
1.472355556E0	-4.774177171E-1	-1.035028984E0
1.476677778E0	-5.441979340E-1	-1.128022231E0
1.481000000E0	-5.477449545E-1	-1.206434190E0
1.485322222E0	-5.692232840E-1	-1.284473324E0
1.489644444E0	-4.933811251E-1	-1.356193555E0
1.493966667E0	-6.075889338E-1	-1.432042744E0
1.506855556E0	-6.322197544E-1	-1.622925513E0
1.511177778E0	-7.059972792E-1	-1.696520337E0
1.515500000E0	-6.874086034E-1	-1.744559070E0
1.519822222E0	-6.730420137E-1	-1.799321045E0
1.524144444E0	-7.322723617E-1	-1.858150178E0
1.528466667E0	-7.142553797E-1	-1.909446476E0
1.532788889E0	-6.896343724E-1	-1.971100468E0
1.537111111E0	-6.903458646E-1	-2.018459033E0
1.550033333E0	-7.222278876E-1	-2.196323030E0
1.554355556E0	-3.719372945E-1	-1.687729297E0
1.558677778E0	-3.716409485E-1	-1.730227887E0
1.563000000E0	-3.794718019E-1	-1.783500931E0
1.567322222E0	-7.168452619E-1	-2.412198773E0
1.571644444E0	-7.070328126E-1	-2.449117476E0
1.575966667E0	-6.923275359E-1	-2.503539212E0
1.580288889E0	-6.581396496E-1	-2.536473167E0
1.584611111E0	-6.573915840E-1	-2.582195668E0
1.588933333E0	-6.475507977E-1	-2.613301791E0
1.593255556E0	-5.641589156E-1	-2.635541655E0
1.597577778E0	-5.949420118E-1	-2.683767208E0
1.601900000E0	-6.260156934E-1	-2.714022643E0
1.606222222E0	-6.655646762E-1	-2.757382328E0
1.610544444E0	-5.420570555E-1	-2.194366675E0
1.614866667E0	-3.818545392E-1	-2.195671880E0
1.623433333E0	-6.837333086E-1	-2.234817025E0
1.627755556E0	-6.762738361E-1	-2.244267952E0
1.632077778E0	-6.384129922E-1	-2.246756361E0
1.636400000E0	-6.519892828E-1	-2.246810656E0
1.640722222E0	-7.139521448E-1	-2.249483169E0
1.645044444E0	-7.473534558E-1	-2.243316993E0
1.649366667E0	-7.764917467E-1	-2.231906349E0
1.653688889E0	-7.055232071E-1	-2.208271432E0
1.658011111E0	-5.401302196E-1	-2.195727794E0
1.662333333E0	-6.921135955E-1	-2.193125434E0
1.666655556E0	-7.209142503E-1	-2.181240699E0
1.670977778E0	-4.753579705E-1	-2.145914378E0
1.675300000E0	-6.353412439E-1	-2.109125351E0
1.679622222E0	-4.706081903E-1	-2.104805300E0
1.683944444E0	-7.754712956E-1	-2.062887883E0
1.688266667E0	-8.021572317E-1	-2.019183604E0
1.692588889E0	-4.649164380E-1	-2.016921918E0
1.696911111E0	-3.920011965E-1	-1.998236026E0
1.701233333E0	-7.698247537E-1	-1.927905392E0
1.705555556E0	-4.200004012E-1	-1.925269327E0
1.709877778E0	-7.801962622E-1	-1.841634592E0
1.714200000E0	-4.230464560E-1	-1.836718965E0
1.718522222E0	-7.744778556E-1	-1.749637739E0
1.722744444E0	-4.093229242E-1	-1.743644252E0
1.744333333E0	-8.131483083E-1	-1.401541495E0
1.748655556E0	-4.034779803E-1	-1.393099599E0
1.752977778E0	-3.777173352E-1	-1.312961247E0
1.757300000E0	-3.793857494E-1	-1.262907766E0
1.761622222E0	-4.174505087E-1	-1.212838477E0
1.765944444E0	-7.260199679E-1	-1.128143128E0
1.770266667E0	-7.455413297E-1	-1.048852817E0
1.774588889E0	-4.657542634E-1	-9.995353205E-1
1.796144444E0	-7.443831262E-1	-6.767997192E-1
1.804788889E0	-7.773969618E-1	-5.493914955E-1
1.809100000E0	-8.086392275E-1	-5.016530584E-1
1.813411111E0	-1.713108628E-1	-3.936223024E-1
1.817722222E0	-5.332368559E-1	-2.892035726E-1
1.822033333E0	-5.861580532E-1	-2.715631735E-1
1.826344444E0	-5.861580532E-1	-1.569005794E-1
1.830655556E0	-5.861580532E-1	-8.633898302E-2
1.834966667E0	-5.773378537E-1	-3.341778574E-2
1.839277778E0	-5.861580532E-1	5.478420973E-2
1.843588889E0	-5.773378537E-1	1.341660056E-1
1.847900000E0	-5.773378537E-1	1.341660056E-1
1.852211111E0	-5.949782528E-1	3.899517925E-1
1.856522222E0	-5.887281050E-1	4.062276958E-1
1.860833333E0	-5.604281847E-1	4.689158825E-1
1.865144444E0	-5.957387255E-1	6.026235994E-1
1.869455556E0	-6.292477622E-1	6.509897637E-1
1.873766667E0	-4.387339974E-1	6.995557308E-1
1.878077778E0	-5.395856045E-1	8.206230606E-1
1.882388889E0	-5.171220682E-1	8.683603153E-1
1.886700000E0	-6.011157312E-1	9.327732338E-1
1.891122222E0	-5.628833726E-1	9.909732514E-1
1.895433333E0	-5.609969675E-1	1.018432560E0
1.899744444E0	-5.973319474E-1	1.056356703E0
1.904055556E0	-6.426185770E-1	1.101498181E0
1.908366667E0	-6.338308961E-1	1.113650044E0
1.912677778E0	-6.066387654E-1	1.152382808E0
1.916988889E0	-5.645544542E-1	1.197440284E0
1.921300000E0	-6.132921532E-1	8.412742391E-1
1.925611111E0	-5.108661124E-1	8.821373395E-1
1.929922222E0	-5.788547118E-1	1.283719339E0
1.934233333E0	-5.170906595E-1	1.313208106E0
1.938544444E0	-5.403187120E-1	1.366929194E0
1.942855556E0	-5.050216502E-1	1.377102861E0
1.947166667E0	-5.292662179E-1	1.414140063E0
1.951477778E0	-5.800377910E-1	1.454181300E0
1.955788889E0	-5.528215576E-1	1.461432568E0
1.960100000E0	-6.025009735E-1	1.496149973E0
1.964522222E0	-5.567168786E-1	1.517597825E0
1.968833333E0	-5.757558765E-1	1.536363076E0
1.977477778E0	-7.140005039E-1	1.060277017E0
1.981788889E0	-6.074936827E-1	1.104179540E0
1.986100000E0	-6.312045503E-1	1.109171591E0
1.990411111E0	-6.429107403E-1	1.626927126E0
